index_original,EmpID,LocLat,LocLong
4329,8194478,-15.9608738,-48.0150809
3,8647008,-15.7450616,-47.850045
4,8647008,-15.7450616,-47.850045
5,8647008,-15.7450616,-47.850045
8741,9605199,-15.7865333,-48.0058583
47,9605199,-15.8151977,-47.9799578
13471,9605199,-15.7863508,-48.0005508
22681,9722597,-16.0127857,-48.023899
12751,9722597,-15.9169426,-48.0494299
7901,9722597,-15.9840555,-48.0409819
8488,9722597,-15.9117427,-47.9678806
23455,9722597,-15.9028252,-47.9634043
26200,9722597,-15.8926094,-47.9615428
4861,9722597,-15.8717801,-47.9580457
153,9722597,-15.8441897,-47.9537954
7190,9722597,-15.8681971,-47.9577999
8311,9722597,-15.9117898,-47.9680127
16603,9722597,-15.9414808,-47.9878207
6941,10029092,-15.815221,-47.8985703
20264,10029092,-15.8436945,-47.9430276
15920,10029092,-15.8738714,-48.0448665
26019,10029092,-15.8762252,-47.9855209
18433,10029092,-15.8447582,-47.9393399
24433,10029092,-15.8059175,-47.8892594
26145,10029092,-15.8059857,-47.889158
11982,10029092,-15.8736703,-48.0446668
16009,10029092,-15.8764694,-47.9943944
3467,10029092,-15.8769771,-48.0203224
5568,10029092,-15.8747083,-47.9798987
20180,10029092,-15.8470563,-47.9545708
15674,10029092,-15.8153513,-47.8985343
26146,10029092,-15.8059857,-47.889158
20266,10029092,-15.8436945,-47.9430276
15922,10029092,-15.8738714,-48.0448665
20268,10029092,-15.8436945,-47.9430276
5569,10029092,-15.8747083,-47.9798987
18435,10029092,-15.8447582,-47.9393399
6648,10029092,-15.8059857,-47.889158
20270,10029092,-15.8436945,-47.9430276
15924,10029092,-15.8738714,-48.0448665
10983,10029092,-15.8754694,-47.9840083
21850,10029092,-15.8673924,-47.9669178
18436,10029092,-15.8447582,-47.9393399
15676,10029092,-15.8153513,-47.8985343
21177,10029092,-15.8761634,-48.0279113
20183,10029092,-15.8470563,-47.9545708
15780,10029092,-15.8639847,-47.9607236
9637,10029092,-15.8702478,-47.9729031
9425,10029092,-15.8774187,-48.0039807
21852,10029092,-15.8673924,-47.9669178
18437,10029092,-15.8447582,-47.9393399
15678,10029092,-15.8153513,-47.8985343
24435,10029092,-15.8059175,-47.8892594
18547,10029092,-15.815221,-47.8985703
20272,10029092,-15.8436945,-47.9430276
16128,10029092,-15.844194,-47.9537665
11988,10029092,-15.8736703,-48.0446668
15783,10029092,-15.8639847,-47.9607236
32672,10029092,-15.8701082,-47.9728734
11606,10029092,-15.8153513,-47.8985343
32673,10029092,-15.8701082,-47.9728734
10986,10029092,-15.8754694,-47.9840083
16013,10029092,-15.8764694,-47.9943944
12239,10029092,-15.8770397,-48.0194308
24437,10029092,-15.8059175,-47.8892594
12061,10029092,-15.8763091,-47.9941713
20186,10029092,-15.8470563,-47.9545708
24438,10029092,-15.8059175,-47.8892594
15787,10029092,-15.8639847,-47.9607236
12241,10029092,-15.8770397,-48.0194308
4117,10029092,-15.8702478,-47.9729031
20187,10029092,-15.8470563,-47.9545708
15790,10029092,-15.8639847,-47.9607236
10988,10029092,-15.8754694,-47.9840083
16016,10029092,-15.8764694,-47.9943944
31265,10552056,-15.6030705,-47.6724858
7461,10552056,-15.6026086,-47.672787
31266,10552056,-15.6030705,-47.6724858
31267,10552056,-15.6030705,-47.6724858
26229,10583666,-15.8926094,-47.9615428
10050,10583666,-15.8106874,-47.943198
10049,10583666,-15.8106874,-47.943198
14040,10583666,-15.7963928,-47.8533981
14039,10583666,-15.7963928,-47.8533981
20769,10583666,-15.844194,-47.9537665
7249,10583666,-15.8681971,-47.9577999
7248,10583666,-15.8681971,-47.9577999
5127,10583666,-15.8852234,-47.9602746
5126,10583666,-15.8852234,-47.9602746
16654,10583666,-15.9414808,-47.9878207
16653,10583666,-15.9414808,-47.9878207
7670,10583666,-15.9846658,-48.0411666
3996,10583666,-15.9414808,-47.9878207
3995,10583666,-15.9414808,-47.9878207
26231,10583666,-15.8926094,-47.9615428
26230,10583666,-15.8926094,-47.9615428
14086,10583666,-15.8852234,-47.9602746
14085,10583666,-15.8852234,-47.9602746
4414,10583666,-15.8681214,-47.9458794
11400,10583666,-15.8436945,-47.9430276
7251,10583666,-15.8681971,-47.9577999
7250,10583666,-15.8681971,-47.9577999
16656,10583666,-15.9414808,-47.9878207
16655,10583666,-15.9414808,-47.9878207
9070,10583666,-15.9414808,-47.9878207
23488,10583666,-15.9028252,-47.9634043
23487,10583666,-15.9028252,-47.9634043
11959,10583666,-15.8717801,-47.9580457
23801,10583666,-15.8382262,-47.9610681
6326,10583666,-15.9117427,-47.9678806
8381,10583666,-15.9117898,-47.9680127
8380,10583666,-15.9117898,-47.9680127
16658,10583666,-15.9414808,-47.9878207
16657,10583666,-15.9414808,-47.9878207
16422,10780175,-15.8470563,-47.9545708
30298,10780175,-15.9139431,-47.9473495
5690,10780175,-15.8681971,-47.9577999
30301,10780175,-15.9139431,-47.9473495
30308,10780175,-15.9139431,-47.9473495
30309,10780175,-15.9139431,-47.9473495
4025,11074593,-15.9028252,-47.9634043
5924,11074593,-15.8926094,-47.9615428
6052,11074593,-15.8702806,-47.9579722
13051,11074593,-15.8472139,-47.9542028
22738,11074593,-15.7433972,-47.9194944
31264,11074593,-15.6030705,-47.6724858
14108,11074593,-15.8443361,-47.9537667
1667,11074593,-15.9117898,-47.9680127
21726,11074593,-15.9414808,-47.9878207
24420,11272972,-15.8059175,-47.8892594
30873,11272972,-15.7814839,-47.8804885
25109,11272972,-15.7008974,-47.8843263
14478,11272972,-15.6481,-47.7859
24635,11724165,-15.8152032,-48.006968
553,11724165,-15.8129906,-47.9835981
19311,11724165,-15.8093497,-47.9742082
21476,11724165,-15.8112131,-47.9962574
20454,11724165,-15.8152032,-48.006968
23674,11724165,-15.9754306,-48.0111139
31078,11724165,-15.8749813,-47.8231033
10318,11724165,-15.976131,-48.010301
16931,11724165,-15.9167699,-48.0492224
18195,11724165,-15.8299306,-48.0514444
13951,11724165,-15.8203682,-48.0568548
15421,11724165,-15.8827064,-48.0539728
19500,11724165,-15.8304579,-48.0509714
8172,11724165,-15.8300944,-48.0513472
15422,11724165,-15.8827064,-48.0539728
14708,11724165,-15.8533333,-48.0397667
18196,11724165,-15.8299306,-48.0514444
1376,11724165,-15.8205556,-48.0567278
8173,11724165,-15.8300944,-48.0513472
29640,11724165,-15.8630999,-48.0345327
15423,11724165,-15.8827064,-48.0539728
14709,11724165,-15.8533333,-48.0397667
19501,11724165,-15.8304579,-48.0509714
2673,11724165,-15.8180111,-48.0578111
8174,11724165,-15.8300944,-48.0513472
18197,11724165,-15.8299306,-48.0514444
13841,11724165,-15.8178466,-48.0577542
8175,11724165,-15.8300944,-48.0513472
34717,11724165,-15.7969,-48.1736
19211,11724165,-15.9175049,-48.0491876
23675,11724165,-15.9754306,-48.0111139
3238,11724165,-15.9757917,-48.0101528
34718,11724165,-15.7969,-48.1736
35302,11724165,-15.7955,-48.1699
35666,11724165,-15.7969,-48.1736
38935,11724165,-15.7917,-48.1555
34851,11724165,-15.7928,-48.1018
13842,11724165,-15.8178466,-48.0577542
35303,11724165,-15.7955,-48.1699
34719,11724165,-15.7969,-48.1736
38936,11724165,-15.7917,-48.1555
13843,11724165,-15.8178466,-48.0577542
8177,11724165,-15.8300944,-48.0513472
25592,11724165,-15.7862246,-48.0005803
15236,11724165,-15.8150778,-47.9799111
4332,11724165,-15.9608738,-48.0150809
34720,11724165,-15.7969,-48.1736
2568,11724165,-15.7928108,-47.9557645
18641,11724165,-15.815221,-47.8985703
35636,11724165,-15.7913,-48.1047
35741,11724165,-15.7955,-48.1699
38886,11724165,-15.7917,-48.1555
31943,11724165,-15.846426,-48.1003761
9525,11724165,-15.8774187,-48.0039807
4219,11724165,-15.8702478,-47.9729031
21928,11724165,-15.8673924,-47.9669178
12523,11724165,-15.8447582,-47.9393399
32723,11724165,-15.8701082,-47.9728734
15974,11724165,-15.8738714,-48.0448665
35304,11724165,-15.7955,-48.1699
38853,11724165,-15.731,-48.1815
5521,11724165,-15.7897283,-47.9820045
7442,11724165,-15.7942309,-47.9597556
15237,11724165,-15.8150778,-47.9799111
25593,11724165,-15.7862246,-48.0005803
35386,11724165,-15.7953,-48.0647
35734,11724165,-15.8006,-48.077
35568,11724165,-15.7913,-48.1047
35742,11724165,-15.7955,-48.1699
38888,11724165,-15.7917,-48.1555
38962,11724165,-15.7969,-48.0918
35032,11724165,-15.7953,-48.0647
35049,11724165,-15.8006,-48.077
35637,11724165,-15.7913,-48.1047
19353,11815914,-15.8455803,-47.9226957
948,11815914,-15.916636,-48.0491876
1220,11815914,-15.8681214,-47.9458794
19116,11815914,-15.9175049,-48.0491876
17646,11885993,-15.7921731,-47.9978103
17645,11885993,-15.7921731,-47.9978103
17179,11885993,-15.7731329,-47.9100067
38473,11885993,-15.731,-48.1815
34715,11885993,-15.7969,-48.1736
35520,11885993,-15.7953,-48.0647
35047,11885993,-15.8006,-48.077
35299,11885993,-15.7955,-48.1699
35048,11885993,-15.8006,-48.077
35740,11885993,-15.7955,-48.1699
35521,11885993,-15.7953,-48.0647
35629,11885993,-15.7913,-48.1047
8836,12194441,-15.7267393,-47.8955303
11079,12194441,-15.7928108,-47.9557645
10320,12194441,-15.727159,-47.88367
14477,12194441,-15.6481,-47.7859
